ID,Severity,Form,Prod state,Location,What's missing,Expected behaviour,User impact,Status,Blocks launch,First found,Last updated
FA-11,Low,All forms (shared),Live,"config/site.config.ts (comingSoon, ""/thank-you""); components/ComingSoonGate.tsx:20-22; lib/data/thank-you.ts:115-121","Undocumented that the gate is an exact path match, so ""/thank-you"" is gated but /thank-you/<slug> is not","A comment in site.config.ts noting that form success destinations depend on exact matching. Re-verified 2026-08-13: the gate still does comingSoon.includes(path) on the normalised path, ""/thank-you"" is still listed, and all four email forms still push to /thank-you/<slug>","Correct by accident today. Adding /thank-you/contact to the list, or switching the gate to prefix matching, would route every successful submission to a Coming Soon page",Pending,No,2026-07-31,2026-08-13
FA-12,Medium,/api/contact,Live,".env.example:11,17; app/api/contact/route.ts:8",Example file documents CONTACT_TO_EMAIL default as support@finevuaustralia.com; code defaults to support@finevuaustralia.com.au,"Applied 2026-08-10: corrected all three occurrences in .env.example (the RESEND comment, the CONTACT_TO_EMAIL default note, and the commented example) to support@finevuaustralia.com.au, matching route.ts and the domain now verified in Resend","Re-verified 2026-08-13: .env.example documents support@finevuaustralia.com.au throughout, matching route.ts:8",Applied,No,2026-07-31,2026-08-13
FA-13,Low,Business enquiry (dead),Dead,components/BusinessEnquiryForm.tsx:33-41,"handleSubmit is setTimeout(1500) then setIsSuccess(true) — never calls the API, and there is no error state at all","RESOLVED — components/BusinessEnquiryForm.tsx no longer exists (verified 2026-08-13, file absent)","Imported by nothing today, but it reads as finished: dropping it onto a page ships a second silently-discarding form that looks correct in review",Applied,No,2026-07-31,2026-08-13
FA-14,Low,LandingPageLayout (dead),Dead,"components/LandingPageLayout.tsx:27,161-166; CLAUDE.md","Component and its form prop are imported by nothing, while CLAUDE.md describes it as driving most audience landing pages",RESOLVED — the form prop and its branches are gone and CLAUDE.md is corrected. Re-verified 2026-08-13: components/LandingPageLayout.tsx has no form prop and is imported by no page. Kept deliberately as a template,Documentation drift — the architecture notes describe a component that is not in use,Applied,No,2026-07-31,2026-08-13
FA-15,Medium,Retailer application,Gated,app/become-a-retailer/page.tsx:202-247,No htmlFor and no id on any of the 9 fields,"APPLIED 2026-08-15 as part of the FA-08 pass. All nine retailer fields now carry htmlFor/id pairs (ret-biz, ret-abn, ret-btype, ret-cname, ret-email, ret-phone, ret-state, ret-web, ret-msg) plus autoComplete where one applies. Closed as a side effect of the validation work rather than on its own — the per-field errors needed the ids to point at",Screen reader announces nine unlabelled text boxes; clicking a label does not focus its field,Applied,No,2026-07-31,2026-08-15
FA-16,Medium,Booking wizard,Live,app/installation/page.tsx:467-481,"Steps 4 and 5 are placeholder-only across 12 fields — no label, no id, no aria-label, including all four payment fields","APPLIED 2026-08-15. All eight step-4 controls now carry a real <label htmlFor> plus id, name and the right autoComplete (name, tel, email). Placeholders are kept as examples, not as the accessible name — a placeholder is unreadable to a screen reader as a label and disappears the moment the customer types, which is worst on the last screen before paying $250","Placeholders vanish on focus, so each field loses its identity exactly while being filled. Live in production, and now on the step immediately before a real $250 charge",Applied,No,2026-07-31,2026-08-15
FA-17,Low,Booking wizard,Live,app/installation/page.tsx:400-402,"Suburb, State and Postcode labels have no htmlFor and their inputs no id (the Street field at :266-268 is wired correctly)","APPLIED 2026-08-15. Suburb, State and Postcode now have htmlFor/id pairs matching the Street field beside them, plus autoComplete address-level2 / address-level1 / postal-code",Three unlabelled fields on the address step,Applied,No,2026-07-31,2026-08-15
FA-18,Low,"Registration, Warranty claim",Gated,"app/register/page.tsx:276 (label), :278-309 (zone) — OUTSTANDING; app/warranty-claim/page.tsx:112/:125/:138 (UploadZone ariaLabel prop), :458 and :502 (call sites) — FIXED","Upload-zone labels are orphaned — the zone is a div role=button, so the label has no target","Give each zone an accessible name, and either point the visible label at it or treat that label as decorative. HALF DONE, and the two halves sit on different pages — re-verified against the code 2026-08-21. FIXED on /warranty-claim: the shared UploadZone takes an ariaLabel prop (declared :112, typed :125) and puts it on the role=button div as aria-label (:138); both call sites pass one — receipt ""Upload your receipt (required)"" (:458) and evidence ""Upload photos of the issue"" (:502) — so both zones are announced. OUTSTANDING on /register, which does not use UploadZone at all: its inline zone at :278-309 has role=button and tabIndex=0 with NO accessible name, and the <label> at :276 has neither htmlFor nor an aria-labelledby pointing at the zone, so it names nothing. Remaining work is one change on one page: give that div an aria-label (e.g. ""Upload your proof of purchase (optional)"") or an id + aria-labelledby, or replace it with UploadZone. Note the frozen What's missing describes both pages; it still holds of the <label> ELEMENTS on both, but on /warranty-claim the control is named regardless, so it now overstates that page. Line refs :97/:231/:232-248/:333/:371 recorded in earlier passes were stale and are superseded here","On /warranty-claim both zones are now announced by their aria-label; only the visible <label> element remains orphaned, which no longer costs a screen-reader user anything. On /register the proof-of-purchase upload is still announced as an unnamed button — the user hears ""button"" with no indication it takes a receipt",Pending,No,2026-07-31,2026-08-21
FA-19,Medium,All forms (shared),Mixed,app/contact/page.tsx:166-214; app/register/page.tsx:223-271; app/warranty-claim/page.tsx:393-478,"No aria-invalid on any field, and error <p> elements are not linked to their input via aria-describedby","APPLIED 2026-08-15 across all five forms — /contact, /register, /warranty-claim, /become-a-retailer and the /installation wizard all now set aria-invalid on the control and aria-describedby pointing at its error. Two details: the serial fields on /register and /warranty-claim describe BOTH their permanent helper line and the error, so the hint does not drop out of the accessible description when the field goes invalid; and the warranty-claim UploadZone takes describedBy but deliberately NOT aria-invalid, because it is a role=""button"" drop target and aria-invalid is unsupported on button (eslint jsx-a11y/role-supports-aria-props flags it). FA-18 and FA-20 are still open and are NOT covered by this",A screen-reader user hears the error only if they happen to navigate past it,Applied,No,2026-07-31,2026-08-21
FA-20,Medium,All forms (shared),Mixed,"app/contact/page.tsx:233; app/register/page.tsx:334; app/warranty-claim/page.tsx:520; app/become-a-retailer/page.tsx:301; app/installation/page.tsx:766-772 (wizard hint), :819-822 (postcode checker)","No live region — errors, including top-level submit failures, appear silently","APPLIED IN FULL. 2026-08-18 on the four Resend-backed forms: the submit-error <p> on /contact, /register, /warranty-claim and /become-a-retailer carries role=alert, so a spent Turnstile token, a 429, a 503 or a stalled redirect is announced instead of appearing silently below the button. 2026-08-19 on the /installation wizard, which needed a different shape: its hint line is not always an error — it also confirms coverage — so a LiveHint component renders TWO always-mounted, visually hidden regions and the severity picks the channel (role=alert is implicitly assertive for a blocked booking or a lost slot, role=status implicitly polite for a coverage confirmation). They stay mounted and empty rather than being conditionally rendered, because a live region inserted at the same moment as its text is unreliably announced — the naive {msg && <p role=alert>} would have looked correct and announced nothing. The visible <p> is untouched, so there is no visual change. The same treatment was applied to the standalone postcode checker, whose entire output is that one line. The strongest case was slot contention: someone else taking the slot silently threw the customer from step 5 back to step 3 with colour carrying the only explanation.",Submit failures are invisible to assistive tech; the user is left with a form that appears to have done nothing,Applied,No,2026-07-31,2026-08-21
FA-21,Medium,All forms (shared),Mixed,app/installation/page.tsx:344 (scrollTop); :382-383 (failed step); :401 (next); :410 (paid); :419 (slotTaken); :421 (back),No focus management — on validation failure focus stays on the submit button; the wizard scrolls on step change but does not move focus,"NARROWED 2026-08-21 to the installation booking wizard. The frozen Form cell still reads ""All forms (shared)"" and now overstates the scope: the four email forms' half of this — focus to the first invalid field on a failed submit — was delivered by focusFirstInvalid() in lib/formHelpers.ts and is tracked as FA-44 (Applied 2026-08-18, /contact /register /warranty-claim /become-a-retailer). That half is covered there, not withdrawn; do not re-raise it here. What is genuinely left is the wizard, which imports none of that machinery — verified 2026-08-21: (a) on step change, next() :401, back() :421, paid() :410 and slotTaken() :419 call only scrollTop() (:344, a scrollIntoView), so focus stays on the Continue button that has just been re-rendered; (b) on a failed step, validate() at :382-383 sets the invalid flags and returns false without moving focus, so the wizard has no equivalent of FA-44 either. Fix is both: focus the new step's heading (tabIndex={-1}) on advance, and call focusFirstInvalid with a per-step FOCUS_ORDER on failure","Keyboard and screen-reader users of the five-step paid booking wizard stay on the previous step's Continue button after it advances, and on a failed step are not taken to the field that blocked them",Pending,No,2026-07-31,2026-08-21
FA-22,Low,Booking wizard,Live,app/installation/page.tsx:321-336,Step indicator conveys progress purely visually — no aria-current and no announced step change,"APPLIED 2026-08-15. aria-current=""step"" on the active indicator, and the ""Step n of 5"" counter is now an aria-live=polite region carrying the step label in an sr-only span, so advancing is announced rather than only redrawn",Progress through a 5-step flow is not conveyed to assistive tech,Applied,No,2026-07-31,2026-08-15
FA-23,High,Booking wizard,Live,lib/data/installation-coverage.ts (resolveCoverage); app/installation/page.tsx:240-258 (wizard) and :569-578 (checker); app/api/booking/create/route.ts:94,"The wizard never consults public/installation/au-postcodes.json — validate(2) hard-blocks only NT and otherwise accepts any 4-digit postcode, while the checker 300 lines below answers from the JSON dataset — RESOLVED 2026-07-31: METRO_COVERAGE is commented out and both surfaces answer from au-postcodes.json via resolveCoverage(). The wizard prefetches rows on mount so step-2 validation stays synchronous. With no fallback left, a failed fetch resolves to a non-committal ""we'll confirm within one business day"" — never a refusal.","RESOLVED. Both surfaces answer from au-postcodes.json via resolveCoverage(), the wizard prefetches rows on mount so step-2 validation stays synchronous, and as of 2026-08-10 /api/booking/create re-checks isExcluded() server-side (422) so the NT block cannot be bypassed by posting directly","The two surfaces can no longer disagree, and the NT exclusion is enforced server-side rather than only in the browser. CAVEAT WITHDRAWN 2026-08-14: this row previously carried a warning, repeated from the 2026-07-31 pass, that the winning dataset was itself defective — inner-Sydney flags that no polygon could produce, non-geographic postcodes and an Antarctic base flagged serviced. That was already stale when the 2026-08-13 audit restated it: au-postcodes.json had been regenerated on 2026-08-06 (commit 49e015e) from a rewritten generator. Re-verified against the shipped file on 2026-08-14 — the inner-Sydney checkerboard is gone (2000/2007/2008/2009/2010/2011/2016/2017 all serviced), 7151 Casey and 9999 North Pole are unserviced, the 52 non-geographic entries are down to one (6849 Perth Bc), and no NT row is flagged serviced. Consistency and correctness are both addressed; see CA-78",Applied,No,2026-07-31,2026-08-14
FA-24,Medium,Booking wizard,Live,app/installation/page.tsx:246; :259-266,The coverage message set on the step-2 success path is unreachable — validate(2) calls setHint(coverageMessage(...)) and next() clears the hint on the same tick before advancing,"Applied 2026-07-31: removed the setHint() clear in next()'s advance branch, so the step-2 coverage message now carries onto step 3 and is cleared by validate(3) on the next Continue","Re-verified 2026-08-13: next() still carries no setHint() clear, so the step-2 coverage message survives onto step 3",Applied,No,2026-07-31,2026-08-13
FA-25,Medium,Booking wizard,Live,app/installation/page.tsx:316-318; :547-549; components/AddressAutocomplete.tsx:284-288,"The wizard is not a <form> — no form element, no onSubmit, so none of the 12 text inputs respond to the Enter key","Applied 2026-07-31: the card body is wrapped in <form onSubmit noValidate>, Continue/Pay is type=submit, and AddressAutocomplete now swallows Enter whenever its dropdown is open so a suggestion keypress cannot advance the step","Re-verified 2026-08-13: the wizard body is a <form onSubmit noValidate>, Continue is type=submit, and AddressAutocomplete still swallows Enter while its dropdown is open",Applied,No,2026-07-31,2026-08-13
FA-26,Critical,Booking wizard,Live,app/installation/page.tsx step 5; app/api/booking/create/route.ts; lib/stripe.ts BookingMetadata,"No terms acceptance and no privacy notice at checkout — no consent checkbox, and no link to the installation terms or a privacy policy anywhere in the five steps","APPLIED 2026-08-15. A required checkbox on step 5 links /terms-of-service (which renders installation-terms.ts) and states the $250 is payable now, with a privacy notice matching the one /contact and /become-a-retailer carry. It gates the MOUNT of BookingCheckout rather than the pay button, so the GHL hold and the Stripe session are not created at all until the customer has agreed — no held slot or open checkout sitting behind an unaccepted contract. Acceptance is stored as an ISO TIMESTAMP, not a boolean: with no database, session metadata is the only durable record, so when they agreed is the part worth being able to prove. The route re-checks independently and returns 422 terms_required, because the client is not evidence and /api/booking/create is reachable directly. Covered by scripts/e2e-booking.mjs. REMAINING, and the reason this still blocks: the privacy notice points at motoronegroup.com/privacy-policy, the same target the other forms use, and nobody has confirmed that policy covers FineVu installation bookings — a booking collects a home address, vehicle details and a payment. The site has no privacy page of its own. Needs a legal/ops answer, plus a read of the consent wording","ESCALATED from High. When this was first found the wizard charged nothing, so the missing consent was theoretical. Since 2026-08-10 it takes a real $250 payment through Stripe, creates a GHL appointment and emails a tax invoice — while installation-terms.ts makes payment-at-booking a contractual term that the customer is never shown, never links, and never agrees to. The flow also collects name, address, phone and email with no privacy notice, where both other public forms have one",Applied,Yes,2026-07-31,2026-08-15
FA-27,Medium,Booking wizard,Live,app/installation/page.tsx:287-301 (summaryRows); :497-507 (payload),The retailer ('Where did you purchase?') and notes fields have no destination in any code path — they are absent from summaryRows() and confirmRows() as well as from any submit,"RESOLVED in full. summaryRows() appends ""Purchased from"" and ""Notes"" when filled, and since 2026-08-10 both fields are also passed in the BookingCheckout payload, reach /api/booking/create, and are carried on the Stripe session metadata (lib/stripe.ts:48-60) — so they now survive to the booking record rather than only to the on-page summary","Beyond the wizard submitting nothing at all, these two are dropped even by the on-page summaries — access notes such as 'apartment parking access' would be lost even if a backend existed",Applied,No,2026-07-31,2026-08-13
FA-28,High,Booking wizard,Live,app/installation/page.tsx:511-534,"The destination after 'Pay $250 AUD' is /thank-you/installation, whose body reads 'We've received your submission and sent a confirmation to your email' — no submission was received and no payment reference, amount or receipt is shown","RESOLVED 2026-08-10. The wizard no longer redirects to /thank-you at all — thankYouUrl is not imported. Step 6 renders in place, distinguishes ""Payment received"" from ""Booking confirmed"", and only claims the latter once /api/booking/status reports the appointment was actually promoted by the webhook","The phantom-submission problem is gone: the payment is real, the reference is the real GHL appointment id, and the confirmation email is sent from the webhook after promotion. The generic /thank-you copy problem persists for the four email forms only — see FA-07",Applied,No,2026-07-31,2026-08-13
FA-29,Medium,Booking wizard,Live,app/installation/page.tsx:346-355; :365-378; :411-436; :443-456,"The four button-grid selectors (model, place, date, slot) convey selection visually only — no role=radio/aria-checked, no aria-pressed, and no fieldset or group label","Applied 2026-07-31: each of the four grids is a role=group with a label (aria-labelledby the existing FLABEL span, aria-label for the location pair) and every option carries aria-pressed. Calendar cells gained an aria-label with the full date; the day-of-week header row is aria-hidden. aria-pressed rather than role=radio, so Tab behaviour stays as-is and no roving-tabindex is implied","Re-verified 2026-08-13: all four grids are role=group with a label, every option carries aria-pressed, calendar cells carry a full-date aria-label and the day-of-week header row is aria-hidden",Applied,No,2026-07-31,2026-08-13
FA-30,Low,Booking wizard,Live,app/installation/page.tsx useTodayKey / useCalendarGrid / step 3 window notice,"No availability model — all nine time slots are offered on every weekday, the calendar is a fixed 28-day window with no navigation, and useCalendar() memoises 'today' at mount","HALF RESOLVED 2026-08-06. Slot availability is now real — /api/booking/slots reads the GHL calendar and the wizard renders only what came back, so weekends, minimum notice, the booking window and holiday blocks are all enforced server-side by GHL. CLOSED 2026-08-15, one half fixed and the other half declined on the evidence. THE BUG: a new useTodayKey() hook re-reads the date at local midnight and feeds it into useCalendarGrid as a memo dependency, so a tab left open overnight no longer keeps yesterday enabled/disabled split. It returns a date KEY rather than a Date because a fresh Date object every render would defeat the memo entirely. THE NAVIGATION: deliberately NOT built. BOOKING_WINDOW_DAYS is 28 and useCalendarGrid already sizes the grid to the furthest day GHL returns, so a ""next month"" arrow could only ever page into empty space — it would advertise more availability and deliver none, which is worse than no control at all. Instead step 3 now names the end of the range (""Showing every date our installers are free, through <date>"") with the phone number for anything later. If the GHL booking window is ever extended past what one grid can show, revisit — the affordance would then have somewhere real to go","The serious half — every slot always looking free — is fixed. What remains is a page left open overnight showing a stale grid, and no way to look beyond the calendar's own window",Applied,No,2026-07-31,2026-08-15
FA-31,Low,Booking wizard,Live,app/installation/page.tsx:259-275,"No submit-once guard — setProcessing(false) runs before router.push, re-enabling the pay button while navigation is still in flight","RESOLVED, and now moot by construction: the wizard no longer owns a pay button. Stripe's iframe renders it and manages its own submit state, and step 5 has no Continue button at all (:547-549)",Harmless while nothing is charged; with a real payment provider this is a double-charge path,Applied,No,2026-07-31,2026-08-13
FA-32,High,Booking wizard,Live,app/api/stripe/webhook/route.ts:103-140; lib/stripe.ts:105-121,"The charge.refunded handler reads (event.data.object as Stripe.Charge).metadata?.appointmentId, but createBookingSession sets metadata only at the Checkout Session level and never passes payment_intent_data.metadata — so the Charge carries no metadata and refundedId is always undefined","FIXED 2026-08-15. createBookingSession now sets payment_intent_data: { metadata: { appointmentId } }, so the PaymentIntent and its Charge inherit the id. The handler was hardened at the same time: it retrieves the PaymentIntent as a fallback for sessions created BEFORE this change (they have no inherited metadata and never will, so without it every booking in flight at cutover would still refund into silence); it breaks on a PARTIAL refund (amount_refunded < amount) so a goodwill refund cannot cancel a whole job; it console.errors instead of returning 200 when no appointmentId can be resolved; and it reads the appointment first, treating gone/already-cancelled as done while letting a real failure 500 so Stripe retries. VERIFIED 2026-08-15: scripts/e2e-booking.mjs now covers refunds against REAL test-mode Stripe — it creates and confirms a PaymentIntent with pm_card_visa, refunds it through the API and posts the real refunded Charge, so the load-bearing assumption (a Charge inherits its PaymentIntent metadata) is asserted rather than assumed. Covers the full refund cancelling and freeing the slot, the record surviving as cancelled not deleted, the partial-refund guard, the PaymentIntent fallback with metadata stripped, replay, and an untraceable refund. 49/50 checks pass; the one failure is the unrelated pre-existing BOOKING_EMAIL_REDIRECT_TO check. STILL OUTSTANDING (production only): confirm charge.refunded is subscribed on the production webhook endpoint, or the handler never receives the event","A refunded booking is never cancelled in GHL. The appointment stays confirmed on the calendar, so an installer is dispatched to a customer who has already been refunded, and the slot stays blocked against real demand. The handler's own comment says it cancels rather than deletes so the record survives for the audit trail — but nothing is cancelled at all",Applied,No,2026-08-13,2026-08-15
